ICAO;City;Airport name;Country;Latitude;Longtitude;Time Difference
PAAQ;Palmer;"Warren ""Bud"" Woods Palmer Municipal Airport";United States;61.594898;-149.08901;-9
KPIT;Pittsburgh;Pittsburgh International Airport;United States;40.49150085;-80.23290253;-5
PABR;Barrow;Wiley Post Will Rogers Memorial Airport;United States;71.285402;-156.766008;-9
KEFD;Houston;Ellington Airport;United States;29.607299804700002;-95.1587982178;-6
KNUW;Whidbey Island;Whidbey Island Naval Air Station (Ault Field);United States;48.351799;-122.655998;-8
KALI;Alice;Alice International Airport;United States;27.740900039699998;-98.02690124510002;-6
KVAD;Valdosta;Moody Air Force Base;United States;30.9678001404;-83.1930007935;-5
KMIA;Miami;Miami International Airport;United States;25.79319953918457;-80.29060363769531;-5
KSEA;Seattle;Seattle Tacoma International Airport;United States;47.449001;-122.308998;-8
KCHA;Chattanooga;Lovell Field;United States;35.035301208496094;-85.20379638671875;-5
KBDR;Stratford;Igor I Sikorsky Memorial Airport;United States;41.16350173950195;-73.1261978149414;-5
KJAN;Jackson;Jackson-Medgar Wiley Evers International Airport;United States;32.3111991882;-90.0758972168;-6
KGLS;Galveston;Scholes International At Galveston Airport;United States;29.265300750732422;-94.86039733886719;-6
KLGB;Long Beach;Long Beach /Daugherty Field/ Airport;United States;33.81769943;-118.1520004;-8
PHDH;Dillingham;Dillingham Airfield;United States;21.5795001984;-158.197006226;-10
KIPT;Williamsport;Williamsport Regional Airport;United States;41.241798400878906;-76.92109680175781;-5
KIND;Indianapolis;Indianapolis International Airport;United States;39.7173;-86.294403;-5
KSZL;Knobnoster;Whiteman Air Force Base;United States;38.73030090332;-93.547897338867;-6
KAKR;Akron;Akron Fulton International Airport;United States;41.0374984741;-81.4669036865;-5
KGWO;Greenwood;Greenwood–Leflore Airport;United States;33.4943008423;-90.0847015381;-6
KHPN;White Plains;Westchester County Airport;United States;41.06700134277344;-73.70760345458984;-5
KFOK;West Hampton Beach;Francis S Gabreski Airport;United States;40.8437004089;-72.6317977905;-5
KJBR;Jonesboro;Jonesboro Municipal Airport;United States;35.83169937133789;-90.64640045166016;-6
KTNX;Tonopah;Tonopah Test Range Airport;United States;37.7988014221;-116.78099823;-8
KLNA;West Palm Beach;Palm Beach County Park Airport;United States;26.59300041;-80.08509827;-5
KNZY;San Diego;North Island Naval Air Station-Halsey Field;United States;32.69919968;-117.2149963;-8
KBIF;El Paso;Biggs Army Air Field (Fort Bliss);United States;31.84950066;-106.3799973;-7
KNYL;Yuma;Yuma MCAS/Yuma International Airport;United States;32.65660095;-114.6060028;-7
KCNM;Carlsbad;Cavern City Air Terminal;United States;32.337501525878906;-104.26300048828125;-7
KDLH;Duluth;Duluth International Airport;United States;46.8420982361;-92.19360351559999;-6
PABE;Bethel;Bethel Airport;United States;60.77980042;-161.8379974;-9
KLOU;Louisville;Bowman Field;United States;38.2280006409;-85.6636962891;-5
KFHU;Fort Huachuca;Sierra Vista Municipal Libby Army Air Field;United States;31.588499069213867;-110.34400177001953;-7
PHLI;Lihue;Lihue Airport;United States;21.97599983215332;-159.33900451660156;-10
KHUF;Terre Haute;Terre Haute Regional Airport, Hulman Field;United States;39.4515;-87.307602;-5
KHVR;Havre;Havre City County Airport;United States;48.54299927;-109.762001;-7
KMWH;Grant County Airport;Grant County International Airport;United States;47.20769882;-119.3199997;-8
KMPV;Montpelier;Edward F Knapp State Airport;United States;44.20349884;-72.56230164;-5
KNSI;San Nicolas Island;San Nicolas Island Nolf Airport;United States;33.23979949951172;-119.45800018310547;-8
KRIC;Richmond;Richmond International Airport;United States;37.50519943237305;-77.3197021484375;-5
KSHV;Shreveport;Shreveport Regional Airport;United States;32.446602;-93.8256;-6
PACV;Cordova;Merle K (Mudhole) Smith Airport;United States;60.4917984;-145.4779968;-9
KORF;Norfolk;Norfolk International Airport;United States;36.89459991455078;-76.20120239257812;-5
KBPT;Beaumont;Southeast Texas Regional Airport;United States;29.9507999420166;-94.02069854736328;-6
KSAV;Savannah;Savannah Hilton Head International Airport;United States;32.12760162;-81.20210266;-5
KHIF;Ogden;Hill Air Force Base;United States;41.12403;-111.973086;-7
PAOM;Nome;Nome Airport;United States;64.51219940185547;-165.44500732421875;-9
KSPB;San Luis;Scappoose Industrial Airpark;United States;45.770999908447266;-122.86199951171875;-8
KPIE;St. Petersburg;St Petersburg Clearwater International Airport;United States;27.91020012;-82.68740082;-5
KMNM;Macon;Menominee Regional Airport;United States;45.126701;-87.638397;-6
KCXO;Conroe;Conroe-North Houston Regional Airport;United States;30.351801;-95.414497;-6
PASC;Deadhorse;Deadhorse Airport;United States;70.19470215;-148.4649963;-9
KSAT;San Antonio;San Antonio International Airport;United States;29.533700942993164;-98.46980285644531;-6
KROC;Rochester;Greater Rochester International Airport;United States;43.118900299072266;-77.67240142822266;-5
KCOF;Coco Beach;Patrick Air Force Base;United States;28.2348995209;-80.6100997925;-5
KTEB;Teterboro;Teterboro Airport;United States;40.85010147089999;-74.060798645;-5
KRCA;Rapid City;Ellsworth Air Force Base;United States;44.14500046;-103.1039963;-7
KRDU;Raleigh-durham;Raleigh Durham International Airport;United States;35.877601623535156;-78.7874984741211;-5
KDAY;Dayton;James M Cox Dayton International Airport;United States;39.902400970458984;-84.21939849853516;-5
PAEN;Kenai;Kenai Municipal Airport;United States;60.57310104370117;-151.2449951171875;-9
KMLC;Mcalester;Mc Alester Regional Airport;United States;34.882401;-95.783501;-6
KIAG;Niagara Falls;Niagara Falls International Airport;United States;43.1072998046875;-78.94619750976562;-5
KCFD;Bryan;Coulter Field;United States;30.715700149499998;-96.3313980103;-6
KLHW;Wright;Wright AAF (Fort Stewart)/Midcoast Regional Airport;United States;31.889099;-81.562303;-5
KPHF;Newport News;Newport News Williamsburg International Airport;United States;37.13190079;-76.49299622;-5
KESF;Alexandria;Esler Regional Airport;United States;31.3948993683;-92.2957992554;-6
KLTS;Altus;Altus Air Force Base;United States;34.667098999;-99.2667007446;-6
KTUS;Tucson;Tucson International Airport;United States;32.1161003112793;-110.94100189208984;-7
KMIB;Minot;Minot Air Force Base;United States;48.4156;-101.358002;-6
KBAB;Marysville;Beale Air Force Base;United States;39.136100769;-121.43699646;-8
KIKK;Kankakee;Greater Kankakee Airport;United States;41.07139968869999;-87.8462982178;-6
KGSB;Goldsboro;Seymour Johnson Air Force Base;United States;35.33940125;-77.96060181;-5
KPVD;Providence;Theodore Francis Green State Airport;United States;41.732601;-71.420403;-5
KSBY;Salisbury;Salisbury Ocean City Wicomico Regional Airport;United States;38.34049987792969;-75.51029968261719;-5
KRIU;Rancho Murieta;Rancho Murieta Airport;United States;38.48680114746094;-121.10299682617188;-8
KBUR;Burbank;Bob Hope Airport;United States;34.20069885253906;-118.35900115966797;-8
KDTW;Detroit;Detroit Metropolitan Wayne County Airport;United States;42.212398529052734;-83.35340118408203;-5
KTPA;Tampa;Tampa International Airport;United States;27.975500106811523;-82.533203125;-5
KPMB;Pembina;Pembina Municipal Airport;United States;48.9425010681;-97.2407989502;-6
KPOE;Fort Polk;Polk Army Air Field;United States;31.0447998;-93.1917038;-6
PAEI;Fairbanks;Eielson Air Force Base;United States;64.66570282;-147.102005;-9
KHIB;Hibbing;Range Regional Airport;United States;47.38660049;-92.83899689;-6
KLFK;Lufkin;Angelina County Airport;United States;31.2339992523;-94.75;-6
KMAF;Midland;Midland International Airport;United States;31.9424991607666;-102.2020034790039;-6
KGRB;Green Bay;Austin Straubel International Airport;United States;44.48509979248047;-88.12960052490234;-6
KADM;Ardmore;Ardmore Municipal Airport;United States;34.30301;-97.0196342;-6
KWRI;Wrightstown;Mc Guire Air Force Base;United States;40.0155983;-74.59169769;-5
KNKT;Cherry Point;Cherry Point MCAS /Cunningham Field/;United States;34.90090179;-76.88069916;-5
KSBO;Santa Barbara;Emanuel County Airport;United States;32.609100341796875;-82.36990356445312;-5
KAGS;Bush Field;Augusta Regional At Bush Field;United States;33.36989974975586;-81.9645004272461;-5
KISN;Williston;Sloulin Field International Airport;United States;48.177898407;-103.641998291;-6
